0.005,17.5
0.01,4.8
0.015,4.7
0.02,4.7
0.025,5.2
0.03,4.7
0.035,4.1
0.04,3.2
0.045,3.2
0.05,3.3
0.055,3.6
0.06,3.5
0.065,3.2
0.07,3.6
0.075,3.5
0.08,3.4
0.085,3.1
0.09,3.2
0.095,3.3
0.1,3.2
0.105,3.2
0.11,3.6
0.115,3.4
0.12,3.3
0.125,3.3
0.13,3.4
0.135,3.1
0.14,3.1
0.145,3.0
0.15,3.0
0.155,3.0
0.16,3.1
0.165,3.0
0.17,3.1
0.175,3.1
0.18,3.3
0.185,3.1
0.19,3.1
0.195,2.9
0.2,3.0
0.205,3.0
0.21,3.1
0.215,3.3
0.22,3.1
0.225,3.0
0.23,3.0
0.235,3.3
0.24,3.1
0.245,2.9
0.25,3.1
0.255,6.5
0.26,6.4
0.265,6.4
0.27,6.5
0.275,6.3
0.28,6.3
0.285,6.4
0.29,6.5
0.295,6.3
0.3,6.3
0.305,6.5
0.31,6.3
0.315,6.4
0.32,6.3
0.325,6.5
0.33,6.3
0.335,6.3
0.34,6.4
0.345,6.3
0.35,6.4
0.355,6.3
0.36,6.3
0.365,6.5
0.37,6.3
0.375,6.4
0.38,6.2
0.385,6.3
0.39,6.4
0.395,6.3
0.4,6.6
0.405,7.0
0.41,6.4
0.415,6.3
0.42,6.3
0.425,6.5
0.43,7.0
0.435,6.8
0.44,7.1
0.445,6.8
0.45,6.9
0.455,6.5
0.46,6.4
0.465,6.2
0.47,6.2
0.475,6.6
0.48,6.4
0.485,6.4
0.49,6.3
0.495,6.6
0.5,6.3
0.505,37.2
0.51,36.3
0.515,36.0
0.52,37.0
0.525,35.4
0.53,36.4
0.535,35.6
0.54,35.2
0.545,35.9
0.55,35.4
0.555,35.8
0.56,35.5
0.565,35.3
0.57,35.5
0.575,35.4
0.58,35.1
0.585,35.5
0.59,35.1
0.595,35.9
0.6,35.8
0.605,35.3
0.61,35.5
0.615,35.2
0.62,35.4
0.625,35.3
0.63,35.5
0.635,35.6
0.64,35.4
0.645,35.9
0.65,35.3
0.655,35.3
0.66,35.5
0.665,35.1
0.67,35.4
0.675,35.6
0.68,35.3
0.685,35.5
0.69,35.4
0.695,35.4
0.7,35.4
0.705,35.5
0.71,35.6
0.715,36.3
0.72,35.3
0.725,35.3
0.73,36.5
0.735,37.1
0.74,36.0
0.745,36.2
0.75,35.7
0.755,51.3
0.76,47.6
0.765,49.9
0.77,49.0
0.775,48.6
0.78,47.3
0.785,47.8
0.79,47.9
0.795,48.1
0.8,48.1
0.805,47.1
0.81,47.9
0.815,48.2
0.82,47.7
0.825,47.1
0.83,47.4
0.835,49.7
0.84,47.8
0.845,47.4
0.85,47.9
0.855,47.2
0.86,49.0
0.865,47.5
0.87,48.4
0.875,47.1
0.88,49.4
0.885,48.5
0.89,48.8
0.895,48.3
0.9,47.8
0.905,47.4
0.91,47.6
0.915,47.0
0.92,47.6
0.925,46.8
0.93,49.1
0.935,48.5
0.94,47.3
0.945,49.1
0.95,47.6
0.955,47.6
0.96,48.8
0.965,49.8
0.97,47.8
0.975,48.3
0.98,49.0
0.985,48.9
0.99,48.3
0.995,48.7
1.0,48.2
1.005,80.0
1.01,77.7
1.015,76.0
1.02,79.0
1.025,78.7
1.03,75.9
1.035,78.3
1.04,78.0
1.045,76.5
1.05,77.9
1.055,79.5
1.06,77.8
1.065,78.3
1.07,77.5
1.075,79.1
1.08,78.1
1.085,76.3
1.09,77.7
1.095,77.2
1.1,76.6
1.105,78.8
1.11,77.1
1.115,77.6
1.12,78.8
1.125,77.7
1.13,76.0
1.135,72.9
1.14,79.6
1.145,77.1
1.15,76.8
1.155,81.5
1.16,77.8
1.165,76.8
1.17,77.4
1.175,77.4
1.18,76.6
1.185,75.2
1.19,76.6
1.195,75.5
1.2,78.0
1.205,75.0
1.21,77.0
1.215,76.8
1.22,80.1
1.225,75.6
1.23,75.3
1.235,76.5
1.24,77.4
1.245,77.3
1.25,79.4
1.255,199.7
1.26,207.2
1.265,210.6
1.27,212.2
1.275,212.1
1.28,209.0
1.285,202.0
1.29,211.1
1.295,210.5
1.3,210.1
1.305,209.5
1.31,211.8
1.315,203.9
1.32,208.3
1.325,206.7
1.33,202.3
1.335,206.6
1.34,210.3
1.345,207.3
1.35,206.7
1.355,203.2
1.36,216.2
1.365,213.7
1.37,209.2
1.375,204.0
1.38,203.0
1.385,205.2
1.39,206.0
1.395,214.6
1.4,198.3
1.405,205.6
1.41,201.8
1.415,201.0
1.42,211.0
1.425,203.0
1.43,206.1
1.435,211.1
1.44,200.0
1.445,196.2
1.45,196.4
1.455,197.5
1.46,199.7
1.465,204.1
1.47,229.3
1.475,278.0
1.48,252.2
1.485,210.1
1.49,208.0
1.495,198.4
1.5,208.4
